gps_x,gps_y,gps_z,fused_x,fused_y,fused_z
0.0,0.0,0.0,-2.1601071062714356e-07,5.620991207909365e-09,-1.254890178577725e-07
0.0,0.0,0.0,-2.976614603268284e-07,9.25508678987974e-09,-1.8980910849770758e-07
0.0,0.0,0.0,-3.910000808104713e-07,1.3954906815164525e-08,-2.6943918757777284e-07
0.0,0.0,0.0,-4.906071993779284e-07,1.9744954731042394e-08,-3.630827068318169e-07
0.0,0.0,0.0,-5.869100226022227e-07,2.6517422363477955e-08,-4.66759143936718e-07
0.0,0.0,0.0,-6.649713953345491e-07,3.396721944416261e-08,-5.727261985907896e-07
0.0,0.0,0.0,-7.032736001233593e-07,4.151470249352217e-08,-6.682628536802243e-07
0.0,0.0,0.0,-6.726540593846577e-07,4.821906987742092e-08,-7.343920418278333e-07
0.0,0.0,0.0,-5.356216705113838e-07,5.2688338185756605e-08,-7.446753835881479e-07
0.0,0.0,0.0,-2.463656783553425e-07,5.299569824721828e-08,-6.642800116095202e-07
0.0,0.0,0.0,2.4814033066227603e-07,4.6616901753861075e-08,-4.4959806442850525e-07
0.0,0.0,0.0,1.0054459629301318e-06,3.0409080989064825e-08,-4.8790083564129666e-08
0.0,0.0,0.0,2.0827705589936293e-06,6.578275585813153e-10,5.962816460873748e-07
0.0,0.0,0.0,3.5293655130461393e-06,-4.677399207119209e-08,1.5461746596570274e-06
0.0,0.0,0.0,5.375469754682132e-06,-1.1615605235406377e-07,2.857418957054616e-06
0.0,0.0,0.0,7.6173170323980825e-06,-2.114148050863686e-07,4.5728492322411845e-06
0.0,0.0,0.0,1.0197851251186716e-05,-3.3542641276522146e-07,6.708105536887572e-06
0.0,0.0,0.0,1.2983161262149184e-05,-4.890361559110238e-07,9.233833322318132e-06
0.0,0.0,0.0,1.5735203655157453e-05,-6.697730224996703e-07,1.205339757035124e-05
0.0,0.0,0.0,1.8082185231297827e-05,-8.70249392059563e-07,1.4976395709630106e-05
0.0,0.0,0.0,1.9489063478091848e-05,-1.0762703530878825e-06,1.7688956323614947e-05
0.0,0.0,0.0,1.9232016226301462e-05,-1.264728465785125e-06,1.972278795057544e-05
0.0,0.0,0.0,1.638242722478506e-05,-1.401430637696252e-06,2.0426226372673086e-05
0.0,0.0,0.0,9.807888494235992e-06,-1.4390963228704237e-06,1.894213045035697e-05
0.0,0.0,0.0,-1.8001691905640102e-06,-1.3158810216541954e-06,1.4199372155821424e-05
0.0,0.0,0.0,-1.986051969100572e-05,-9.54914056440815e-07,4.926781484920048e-06
